Name: 日本QVC Japan, URL: http://cdn-live1.qvc.jp/iPhone/800/800.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: Akamai节点, Date: None, Delay: 2846 ms, Speed: 0.64 M/s, Resolution: 720x404
Name: 日本QVC Japan, URL: http://cdn-live1.qvc.jp/iPhone/800/800.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: Akamai节点, Date: None, Delay: 2846 ms, Speed: 0.64 M/s, Resolution: 720x404
Name: 日本购物2, URL: http://stream1.shopch.jp/HLS/out2/prog_index.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: Amazon数据中心, Date: None, Delay: 4100 ms, Speed: 0.45 M/s, Resolution: 1280x720
Name: 日本购物2, URL: http://stream1.shopch.jp/HLS/out2/prog_index.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: Amazon数据中心, Date: None, Delay: 4100 ms, Speed: 0.45 M/s, Resolution: 1280x720
Name: 韩国EBS第一频道, URL: http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/groundwavetablet500k.m3u8, From: local, IPv_Type: ipv4, Location: 韩国, ISP: , Date: None, Delay: 1545 ms, Speed: 0.53 M/s, Resolution: 640x360
Name: 韩国EBS第一频道, URL: http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/groundwavetablet500k.m3u8, From: local, IPv_Type: ipv4, Location: 韩国, ISP: , Date: None, Delay: 1545 ms, Speed: 0.53 M/s, Resolution: 640x360
Name: 韩国EBS第二频道, URL: http://ebsonairios.ebs.co.kr/ebs2tablet500k/tablet500k/ebs2tablet500k.index.m3u8, From: local, IPv_Type: ipv4, Location: 韩国, ISP: , Date: None, Delay: 1545 ms, Speed: 0.53 M/s, Resolution: 640x360
Name: 韩国EBS儿童频道, URL: http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8, From: local, IPv_Type: ipv4, Location: 韩国, ISP: , Date: None, Delay: 1545 ms, Speed: 0.53 M/s, Resolution: 640x360
Name: 韩国EBS加二频道, URL: http://ebsonairios.ebs.co.kr/plus2tablet500k/tablet500k/plus2tablet500k.index.m3u8, From: local, IPv_Type: ipv4, Location: 韩国, ISP: , Date: None, Delay: 1545 ms, Speed: 0.53 M/s, Resolution: 640x360
Name: 韩国EBSi频道, URL: http://ebsonairios.ebs.co.kr/plus1tablet500k/tablet500k/plus1tablet500k.index.m3u8, From: local, IPv_Type: ipv4, Location: 韩国, ISP: , Date: None, Delay: 1545 ms, Speed: 0.53 M/s, Resolution: 640x360
Name: 韩国KCTV, URL: http://119.77.96.184:1935/chn21/chn21/chunklist_w252131137.m3u8, From: local, IPv_Type: ipv4, Location: 韩国, ISP: 光州市韩国有线电视广播公司, Date: None, Delay: 12468 ms, Speed: 0.41 M/s, Resolution: 1280x720
Name: 韩国KCTV, URL: http://119.77.96.184:1935/chn21/chn21/chunklist_w252131137.m3u8, From: local, IPv_Type: ipv4, Location: 韩国, ISP: 光州市韩国有线电视广播公司, Date: None, Delay: 12468 ms, Speed: 0.41 M/s, Resolution: 1280x720
Name: 韩国KCTV, URL: http://119.77.96.184:1935/chn21/chn21/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 韩国, ISP: 光州市韩国有线电视广播公司, Date: None, Delay: 12468 ms, Speed: 0.41 M/s, Resolution: 1280x720
Name: 韩国MBC综艺频道, URL: http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 韩国, ISP: , Date: None, Delay: 12543 ms, Speed: 0.35 M/s, Resolution: 1280x720
Name: 韩国MBC综艺频道, URL: http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 韩国, ISP: , Date: None, Delay: 12543 ms, Speed: 0.35 M/s, Resolution: 1280x720
Name: 韩国NBS农业广播, URL: https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 韩国, ISP: , Date: None, Delay: 2703 ms, Speed: 0.15 M/s, Resolution: 1280x720
Name: 韩国NBS农业广播, URL: https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 韩国, ISP: , Date: None, Delay: 2703 ms, Speed: 0.15 M/s, Resolution: 1280x720
Name: 韩国SBS CJB, URL: http://1.222.207.80:1935/live/cjbtv/chunklist_w1357270949.m3u8, From: local, IPv_Type: ipv4, Location: 韩国, ISP: LG_DACOM, Date: None, Delay: 1591 ms, Speed: 0.23 M/s, Resolution: 1280x720
Name: 韩国SBS CJB, URL: http://1.222.207.80:1935/live/cjbtv/chunklist_w1357270949.m3u8, From: local, IPv_Type: ipv4, Location: 韩国, ISP: LG_DACOM, Date: None, Delay: 1591 ms, Speed: 0.23 M/s, Resolution: 1280x720
Name: 韩国阿里郎KOREA, URL: http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch/master.m3u8, From: local, IPv_Type: ipv4, Location: 德国, ISP: Akamai节点, Date: None, Delay: 1836 ms, Speed: 0.51 M/s, Resolution: None
Name: 韩国阿里郎KOREA, URL: http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch/master.m3u8, From: local, IPv_Type: ipv4, Location: 德国, ISP: Akamai节点, Date: None, Delay: 1836 ms, Speed: 0.51 M/s, Resolution: None
Name: 韩国KBS1, URL: http://ebsonair.ebs.co.kr/groundwavefamilypc/familypc1m/chunklist_w1960240276.m3u8, From: local, IPv_Type: ipv4, Location: 韩国, ISP: , Date: None, Delay: 1986 ms, Speed: 0.86 M/s, Resolution: 720x400
